index	roi_value	roi_name	label
0	0	Background	0
1	7001	Left	1
2	7011	Left	1
3	7021	Left	1
4	6002	Right	2
5	6102	Right	2
6	6202	Right	2
7	6212	Right	2
8	6222	Right	2
9	6302	Right	2
10	6402	Right	2
11	2002	Right	2
12	2102	Right	2
13	2202	Right	2
14	2302	Right	2
15	2312	Right	2
16	2322	Right	2
17	2332	Right	2
18	2402	Right	2
19	2502	Right	2
20	2602	Right	2
21	2612	Right	2
22	2702	Right	2
23	2802	Right	2
24	2812	Right	2
25	2822	Right	2
26	2832	Right	2
27	7101	Left	1
28	4001	Left	1
29	4011	Left	1
30	4021	Left	1
31	4101	Left	1
32	4111	Left	1
33	4201	Left	1
34	3001	Left	1
35	6001	Left	1
36	6101	Left	1
37	6201	Left	1
38	6211	Left	1
39	6221	Left	1
40	6301	Left	1
41	3002	Right	2
42	7102	Right	2
43	8101	Left	1
44	8111	Left	1
45	8121	Left	1
46	8201	Left	1
47	8211	Left	1
48	8301	Left	1
49	9001	Left	1
50	9011	Left	1
51	9021	Left	1
52	9031	Left	1
53	9041	Left	1
54	9051	Left	1
55	9061	Left	1
56	9071	Left	1
57	9081	Left	1
58	9002	Left	1
59	9012	Left	1
60	9022	Left	1
61	9032	Left	1
62	9042	Left	1
63	9052	Left	1
64	9062	Left	1
65	9072	Left	1
66	9082	Left	1
67	9100	Left	1
68	9110	Left	1
69	9120	Left	1
70	9130	Left	1
71	9140	Left	1
72	9150	Left	1
73	9160	Left	1
74	9170	Left	1
75	5001	Left	1
76	5011	Left	1
77	5021	Left	1
78	5101	Left	1
79	5201	Left	1
80	5301	Left	1
81	5401	Left	1
82	4002	Right	2
83	4012	Right	2
84	4022	Right	2
85	4102	Right	2
86	4112	Right	2
87	4202	Right	2
88	7002	Right	2
89	7012	Right	2
90	7022	Right	2
91	2001	Left	1
92	2101	Left	1
93	2201	Left	1
94	2301	Left	1
95	2311	Left	1
96	2321	Left	1
97	2331	Left	1
98	2401	Left	1
99	2501	Left	1
100	2601	Left	1
101	2611	Left	1
102	2701	Left	1
103	2801	Left	1
104	2811	Left	1
105	2821	Left	1
106	2831	Left	1
107	6401	Left	1
108	8102	Right	2
109	8112	Right	2
110	8122	Right	2
111	8202	Right	2
112	8212	Right	2
113	8302	Right	2
114	5002	Right	2
115	5012	Right	2
116	5022	Right	2
117	5102	Right	2
118	5202	Right	2
119	5302	Right	2
120	5402	Right	2
